sentence,label,pmid
The images show a group of men that detectives want to question.,0,0
The developmental bureaucracy has come into being.,0,1
NASA Kepler mission sends names into space.,0,2
"The chassis of the truck has two wooden beams fixed to it, which carry the body framework; two monorails.",0,3
"By the late 1980s, however, the Bank was caught up in the debt crisis in the developing world caused by the recession and the dramatic rise in interest rates.",1,4
Intuitively stack is visualized as indeed a stack of objects.,0,5
Northern Michigan towns hosts an array of Yuletide events.,0,6
This book has transported readers into ancient times.,0,7
Brake cable anchor bolts are the most important fasteners on a bicycle.,0,8
"Instead of ""dominance"" and ""submission"", he uses the terms ""assertiveness"" and ""passiveness"" to reflect the role of the wolf in the pack.",0,9
"When opened to its tote bag form, it looks like a unsubstantial tote bag with a compartment for the umbrella.",0,10
Characters native to the African continent have been depicted in comics since the beginnings of the modern comic strip.,0,11
The big fish has been pushed into the deeper sea.,0,12
The scientist enclosed a liquid material in a vial in three steps.,0,13
"This case arises from a December 21, 2005 automobile accident that resulted in the death of Larry Haynes.",1,14
"However, the planning proposal has generated opposition from locals who have voiced fears over health issues..
		",1,15
"The army of Israel was utterly defeated and its camp ransacked, which terribly augmented the horrors and disasters of the rout of Saul's army.",0,16
Take medicine to reduce sneezing and coughing from allergies.,1,17
Gavin wears a kilt for the outing.,0,18
A large marble was dropped into the bowl.,0,19
This issue has been covered in greater detail in many other documents about network abuse.,0,20
Wave crests are blown into the froth.,0,21
"As Vinay collapsed in pain, the villagers poured acid into his eyes.",0,22
The implant is placed into the jaw bone.,0,23
"The research, performed at the Kyoto Prefectural University of Medicine, has been presented at a medical meeting in Japan.",0,24
A lamp emiting a strong white light is placed on an mobile block makes it possible to the scanner to sweep all the document.,1,25
He poured flour into the tuba of an orchestra collegue.,0,26
Much effort has been put into research of the phenomenon of voltage collapse.,0,27
"The breakdown of the linear relation of J,1 D at peakeffect region indicates that the peakeffect originates from an addition pinning effect.",1,28
"The corporation has constructed railways in Ukraine, Guinea, Iran, Iraq, and Syria.",0,29
"Atopic dermatitis, the most common type of eczema, causes itchiness that's worse in the colder months.",1,30
The dial indicator is mounted on the spindle of the milling machine.,0,31
My aunt has been put into care suffering with memory loss.,0,32
The dramatic streaks we see in the sky are caused by particles that incinerate before they hit the ground.,1,33
Parties have inherited entitlements to property.,0,34
The dog scratched at the door with its forepaw.,0,35
"With lyrical descriptions of landscape and terse, unpunctuated dialogue, a distinctive voice powered a gripping story.",0,36
This scholarship was awarded to an outstanding student for recognizing her academic excellence.,0,37
"Instead of placing the seeds in a strainer basket, they were placed in a wet muslin or cheesecloth and hung up.",0,38
"While that operation was a success, the contents of the satchel were a tiny loss for the traffickers.",0,39
The structure of the benthic boundary layer over a bed of mussels  was investigated in a large racetrack flume.,0,40
Genetic disorders are caused by the mutation of a gene.,1,41
The material was in a trunk in a basement and I knew I needed to get it.,0,42
A lot of effort has gone into the development of a suitable statistical method.,0,43
My manager's desk has been moved up to the top floor.,0,44
"Ws a murmuration of starlings enters a holly grove, it ruins the entire crop.",0,45
Firefighters mark hydrants that work okay with spray paint.,0,46
Our inquiry into the city's job creation funding came from a reader's tip.,1,47
"This program was developed based on research, best practices, several parenting programs, and the personal experiences of the author, who is a minister.",0,48
The mice brains were removed into a 35mm dish.,0,49
We seek to actually reverse the injury that has been caused by the heart attack.,1,50
A first revolution was triggered by the growing use of reading and writing.,1,51
This love of nature's gift has been reflected in artworks dating back more than a thousand years.,0,52
